"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0463000;"Powiat m.Toruń";"rynek wtórny";"ogółem";"2020";1128;"szt.";"";
0463000;"Powiat m.Toruń";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0464000;"Powiat m.Włocławek";"ogółem";"ogółem";"2020";514;"szt.";"";
0464000;"Powiat m.Włocławek";"ogółem";"ogółem";"2021";;"szt.";"n";
0464000;"Powiat m.Włocławek";"rynek pierwotny";"ogółem";"2020";76;"szt.";"";
0464000;"Powiat m.Włocławek";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0464000;"Powiat m.Włocławek";"rynek wtórny";"ogółem";"2020";438;"szt.";"";
0464000;"Powiat m.Włocławek";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0601000;"Powiat bialski";"ogółem";"ogółem";"2020";115;"szt.";"";
0601000;"Powiat bialski";"ogółem";"ogółem";"2021";;"szt.";"n";
0601000;"Powiat bialski";"rynek pierwotny";"ogółem";"2020";82;"szt.";"";
0601000;"Powiat bialski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0601000;"Powiat bialski";"rynek wtórny";"ogółem";"2020";33;"szt.";"";
0601000;"Powiat bialski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0602000;"Powiat biłgorajski";"ogółem";"ogółem";"2020";202;"szt.";"";
0602000;"Powiat biłgorajski";"ogółem";"ogółem";"2021";;"szt.";"n";
0602000;"Powiat biłgorajski";"rynek pierwotny";"ogółem";"2020";156;"szt.";"";
0602000;"Powiat biłgorajski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0602000;"Powiat biłgorajski";"rynek wtórny";"ogółem";"2020";46;"szt.";"";
0602000;"Powiat biłgorajski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0603000;"Powiat chełmski";"ogółem";"ogółem";"2020";21;"szt.";"";
0603000;"Powiat chełmski";"ogółem";"ogółem";"2021";;"szt.";"n";
0603000;"Powiat chełmski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0603000;"Powiat chełmski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0603000;"Powiat chełmski";"rynek wtórny";"ogółem";"2020";21;"szt.";"";
0603000;"Powiat chełmski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0604000;"Powiat hrubieszowski";"ogółem";"ogółem";"2020";87;"szt.";"";
0604000;"Powiat hrubieszowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0604000;"Powiat hrubieszowski";"rynek pierwotny";"ogółem";"2020";4;"szt.";"";
0604000;"Powiat hrubieszowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0604000;"Powiat hrubieszowski";"rynek wtórny";"ogółem";"2020";83;"szt.";"";
0604000;"Powiat hrubieszowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0605000;"Powiat janowski";"ogółem";"ogółem";"2020";17;"szt.";"";
0605000;"Powiat janowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0605000;"Powiat janowski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0605000;"Powiat janowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0605000;"Powiat janowski";"rynek wtórny";"ogółem";"2020";16;"szt.";"";
0605000;"Powiat janowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0606000;"Powiat krasnostawski";"ogółem";"ogółem";"2020";19;"szt.";"";
0606000;"Powiat krasnostawski";"ogółem";"ogółem";"2021";;"szt.";"n";
0606000;"Powiat krasnostawski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0606000;"Powiat krasnostawski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0606000;"Powiat krasnostawski";"rynek wtórny";"ogółem";"2020";19;"szt.";"";
0606000;"Powiat krasnostawski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0607000;"Powiat kraśnicki";"ogółem";"ogółem";"2020";104;"szt.";"";
0607000;"Powiat kraśnicki";"ogółem";"ogółem";"2021";;"szt.";"n";
0607000;"Powiat kraśnicki";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0607000;"Powiat kraśnicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0607000;"Powiat kraśnicki";"rynek wtórny";"ogółem";"2020";103;"szt.";"";
0607000;"Powiat kraśnicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0608000;"Powiat lubartowski";"ogółem";"ogółem";"2020";122;"szt.";"";
0608000;"Powiat lubartowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0608000;"Powiat lubartowski";"rynek pierwotny";"ogółem";"2020";44;"szt.";"";
0608000;"Powiat lubartowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0608000;"Powiat lubartowski";"rynek wtórny";"ogółem";"2020";78;"szt.";"";
0608000;"Powiat lubartowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0609000;"Powiat lubelski";"ogółem";"ogółem";"2020";128;"szt.";"";
0609000;"Powiat lubelski";"ogółem";"ogółem";"2021";;"szt.";"n";
0609000;"Powiat lubelski";"rynek pierwotny";"ogółem";"2020";49;"szt.";"";
0609000;"Powiat lubelski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0609000;"Powiat lubelski";"rynek wtórny";"ogółem";"2020";79;"szt.";"";
0609000;"Powiat lubelski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0610000;"Powiat łęczyński";"ogółem";"ogółem";"2020";65;"szt.";"";
0610000;"Powiat łęczyński";"ogółem";"ogółem";"2021";;"szt.";"n";
0610000;"Powiat łęczyński";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0610000;"Powiat łęczyński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0610000;"Powiat łęczyński";"rynek wtórny";"ogółem";"2020";65;"szt.";"";
0610000;"Powiat łęczyński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0611000;"Powiat łukowski";"ogółem";"ogółem";"2020";80;"szt.";"";
0611000;"Powiat łukowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0611000;"Powiat łukowski";"rynek pierwotny";"ogółem";"2020";17;"szt.";"";
0611000;"Powiat łukowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0611000;"Powiat łukowski";"rynek wtórny";"ogółem";"2020";63;"szt.";"";
0611000;"Powiat łukowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0612000;"Powiat opolski";"ogółem";"ogółem";"2020";50;"szt.";"";
0612000;"Powiat opolski";"ogółem";"ogółem";"2021";;"szt.";"n";
0612000;"Powiat opolski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0612000;"Powiat opolski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0612000;"Powiat opolski";"rynek wtórny";"ogółem";"2020";49;"szt.";"";
0612000;"Powiat opolski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0613000;"Powiat parczewski";"ogółem";"ogółem";"2020";81;"szt.";"";
0613000;"Powiat parczewski";"ogółem";"ogółem";"2021";;"szt.";"n";
0613000;"Powiat parczewski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0613000;"Powiat parczewski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0613000;"Powiat parczewski";"rynek wtórny";"ogółem";"2020";81;"szt.";"";
0613000;"Powiat parczewski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0614000;"Powiat puławski";"ogółem";"ogółem";"2020";438;"szt.";"";
0614000;"Powiat puławski";"ogółem";"ogółem";"2021";;"szt.";"n";
0614000;"Powiat puławski";"rynek pierwotny";"ogółem";"2020";209;"szt.";"";
0614000;"Powiat puławski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0614000;"Powiat puławski";"rynek wtórny";"ogółem";"2020";229;"szt.";"";
0614000;"Powiat puławski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0615000;"Powiat radzyński";"ogółem";"ogółem";"2020";43;"szt.";"";
0615000;"Powiat radzyński";"ogółem";"ogółem";"2021";;"szt.";"n";
0615000;"Powiat radzyński";"rynek pierwotny";"ogółem";"2020";18;"szt.";"";
0615000;"Powiat radzyński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0615000;"Powiat radzyński";"rynek wtórny";"ogółem";"2020";25;"szt.";"";
0615000;"Powiat radzyński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0616000;"Powiat rycki";"ogółem";"ogółem";"2020";69;"szt.";"";
0616000;"Powiat rycki";"ogółem";"ogółem";"2021";;"szt.";"n";
0616000;"Powiat rycki";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0616000;"Powiat rycki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0616000;"Powiat rycki";"rynek wtórny";"ogółem";"2020";69;"szt.";"";
0616000;"Powiat rycki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0617000;"Powiat świdnicki";"ogółem";"ogółem";"2020";226;"szt.";"";
0617000;"Powiat świdnicki";"ogółem";"ogółem";"2021";;"szt.";"n";
0617000;"Powiat świdnicki";"rynek pierwotny";"ogółem";"2020";21;"szt.";"";
0617000;"Powiat świdnicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0617000;"Powiat świdnicki";"rynek wtórny";"ogółem";"2020";205;"szt.";"";
0617000;"Powiat świdnicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0618000;"Powiat tomaszowski";"ogółem";"ogółem";"2020";84;"szt.";"";
0618000;"Powiat tomaszowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0618000;"Powiat tomaszowski";"rynek pierwotny";"ogółem";"2020";20;"szt.";"";
0618000;"Powiat tomaszowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0618000;"Powiat tomaszowski";"rynek wtórny";"ogółem";"2020";64;"szt.";"";
0618000;"Powiat tomaszowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0619000;"Powiat włodawski";"ogółem";"ogółem";"2020";89;"szt.";"";
0619000;"Powiat włodawski";"ogółem";"ogółem";"2021";;"szt.";"n";
0619000;"Powiat włodawski";"rynek pierwotny";"ogółem";"2020";8;"szt.";"";
0619000;"Powiat włodawski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0619000;"Powiat włodawski";"rynek wtórny";"ogółem";"2020";81;"szt.";"";
0619000;"Powiat włodawski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0620000;"Powiat zamojski";"ogółem";"ogółem";"2020";16;"szt.";"";
0620000;"Powiat zamojski";"ogółem";"ogółem";"2021";;"szt.";"n";
0620000;"Powiat zamojski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0620000;"Powiat zamojski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0620000;"Powiat zamojski";"rynek wtórny";"ogółem";"2020";16;"szt.";"";
0620000;"Powiat zamojski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0661000;"Powiat m.Biała Podlaska";"ogółem";"ogółem";"2020";476;"szt.";"";
0661000;"Powiat m.Biała Podlaska";"ogółem";"ogółem";"2021";;"szt.";"n";
0661000;"Powiat m.Biała Podlaska";"rynek pierwotny";"ogółem";"2020";215;"szt.";"";
0661000;"Powiat m.Biała Podlaska";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0661000;"Powiat m.Biała Podlaska";"rynek wtórny";"ogółem";"2020";261;"szt.";"";
0661000;"Powiat m.Biała Podlaska";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0662000;"Powiat m.Chełm";"ogółem";"ogółem";"2020";385;"szt.";"";
0662000;"Powiat m.Chełm";"ogółem";"ogółem";"2021";;"szt.";"n";
0662000;"Powiat m.Chełm";"rynek pierwotny";"ogółem";"2020";69;"szt.";"";
0662000;"Powiat m.Chełm";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0662000;"Powiat m.Chełm";"rynek wtórny";"ogółem";"2020";316;"szt.";"";
0662000;"Powiat m.Chełm";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0663000;"Powiat m.Lublin";"ogółem";"ogółem";"2020";4680;"szt.";"";
0663000;"Powiat m.Lublin";"ogółem";"ogółem";"2021";;"szt.";"n";
0663000;"Powiat m.Lublin";"rynek pierwotny";"ogółem";"2020";2885;"szt.";"";
0663000;"Powiat m.Lublin";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0663000;"Powiat m.Lublin";"rynek wtórny";"ogółem";"2020";1795;"szt.";"";
0663000;"Powiat m.Lublin";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0664000;"Powiat m.Zamość";"ogółem";"ogółem";"2020";263;"szt.";"";
0664000;"Powiat m.Zamość";"ogółem";"ogółem";"2021";;"szt.";"n";
0664000;"Powiat m.Zamość";"rynek pierwotny";"ogółem";"2020";81;"szt.";"";
0664000;"Powiat m.Zamość";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0664000;"Powiat m.Zamość";"rynek wtórny";"ogółem";"2020";182;"szt.";"";
0664000;"Powiat m.Zamość";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0801000;"Powiat gorzowski";"ogółem";"ogółem";"2020";212;"szt.";"";
0801000;"Powiat gorzowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0801000;"Powiat gorzowski";"rynek pierwotny";"ogółem";"2020";78;"szt.";"";
0801000;"Powiat gorzowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0801000;"Powiat gorzowski";"rynek wtórny";"ogółem";"2020";134;"szt.";"";
0801000;"Powiat gorzowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0802000;"Powiat krośnieński";"ogółem";"ogółem";"2020";222;"szt.";"";
0802000;"Powiat krośnieński";"ogółem";"ogółem";"2021";;"szt.";"n";
0802000;"Powiat krośnieński";"rynek pierwotny";"ogółem";"2020";69;"szt.";"";
0802000;"Powiat krośnieński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0802000;"Powiat krośnieński";"rynek wtórny";"ogółem";"2020";153;"szt.";"";
0802000;"Powiat krośnieński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0803000;"Powiat międzyrzecki";"ogółem";"ogółem";"2020";299;"szt.";"";
0803000;"Powiat międzyrzecki";"ogółem";"ogółem";"2021";;"szt.";"n";
0803000;"Powiat międzyrzecki";"rynek pierwotny";"ogółem";"2020";90;"szt.";"";
0803000;"Powiat międzyrzecki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0803000;"Powiat międzyrzecki";"rynek wtórny";"ogółem";"2020";209;"szt.";"";
0803000;"Powiat międzyrzecki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0804000;"Powiat nowosolski";"ogółem";"ogółem";"2020";447;"szt.";"";
0804000;"Powiat nowosolski";"ogółem";"ogółem";"2021";;"szt.";"n";
0804000;"Powiat nowosolski";"rynek pierwotny";"ogółem";"2020";165;"szt.";"";
0804000;"Powiat nowosolski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0804000;"Powiat nowosolski";"rynek wtórny";"ogółem";"2020";282;"szt.";"";
0804000;"Powiat nowosolski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0805000;"Powiat słubicki";"ogółem";"ogółem";"2020";278;"szt.";"";
0805000;"Powiat słubicki";"ogółem";"ogółem";"2021";;"szt.";"n";
0805000;"Powiat słubicki";"rynek pierwotny";"ogółem";"2020";36;"szt.";"";
0805000;"Powiat słubicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0805000;"Powiat słubicki";"rynek wtórny";"ogółem";"2020";242;"szt.";"";
0805000;"Powiat słubicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0806000;"Powiat strzelecko-drezdenecki";"ogółem";"ogółem";"2020";168;"szt.";"";
0806000;"Powiat strzelecko-drezdenecki";"ogółem";"ogółem";"2021";;"szt.";"n";
0806000;"Powiat strzelecko-drezdenecki";"rynek pierwotny";"ogółem";"2020";25;"szt.";"";
0806000;"Powiat strzelecko-drezdenecki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0806000;"Powiat strzelecko-drezdenecki";"rynek wtórny";"ogółem";"2020";143;"szt.";"";
0806000;"Powiat strzelecko-drezdenecki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0807000;"Powiat sulęciński";"ogółem";"ogółem";"2020";56;"szt.";"";
0807000;"Powiat sulęciński";"ogółem";"ogółem";"2021";;"szt.";"n";
0807000;"Powiat sulęciński";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0807000;"Powiat sulęciński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0807000;"Powiat sulęciński";"rynek wtórny";"ogółem";"2020";56;"szt.";"";
0807000;"Powiat sulęciński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0808000;"Powiat świebodziński";"ogółem";"ogółem";"2020";233;"szt.";"";
0808000;"Powiat świebodziński";"ogółem";"ogółem";"2021";;"szt.";"n";
0808000;"Powiat świebodziński";"rynek pierwotny";"ogółem";"2020";97;"szt.";"";
0808000;"Powiat świebodziński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0808000;"Powiat świebodziński";"rynek wtórny";"ogółem";"2020";136;"szt.";"";
0808000;"Powiat świebodziński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0809000;"Powiat zielonogórski";"ogółem";"ogółem";"2020";322;"szt.";"";
0809000;"Powiat zielonogórski";"ogółem";"ogółem";"2021";;"szt.";"n";
0809000;"Powiat zielonogórski";"rynek pierwotny";"ogółem";"2020";17;"szt.";"";
0809000;"Powiat zielonogórski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0809000;"Powiat zielonogórski";"rynek wtórny";"ogółem";"2020";305;"szt.";"";
0809000;"Powiat zielonogórski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0810000;"Powiat żagański";"ogółem";"ogółem";"2020";334;"szt.";"";
0810000;"Powiat żagański";"ogółem";"ogółem";"2021";;"szt.";"n";
0810000;"Powiat żagański";"rynek pierwotny";"ogółem";"2020";11;"szt.";"";
0810000;"Powiat żagański";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0810000;"Powiat żagański";"rynek wtórny";"ogółem";"2020";323;"szt.";"";
0810000;"Powiat żagański";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0811000;"Powiat żarski";"ogółem";"ogółem";"2020";414;"szt.";"";
0811000;"Powiat żarski";"ogółem";"ogółem";"2021";;"szt.";"n";
0811000;"Powiat żarski";"rynek pierwotny";"ogółem";"2020";59;"szt.";"";
0811000;"Powiat żarski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0811000;"Powiat żarski";"rynek wtórny";"ogółem";"2020";355;"szt.";"";
0811000;"Powiat żarski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0812000;"Powiat wschowski";"ogółem";"ogółem";"2020";106;"szt.";"";
0812000;"Powiat wschowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0812000;"Powiat wschowski";"rynek pierwotny";"ogółem";"2020";8;"szt.";"";
0812000;"Powiat wschowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0812000;"Powiat wschowski";"rynek wtórny";"ogółem";"2020";98;"szt.";"";
0812000;"Powiat wschowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0861000;"Powiat m.Gorzów Wielkopolski";"ogółem";"ogółem";"2020";1216;"szt.";"";
0861000;"Powiat m.Gorzów Wielkopolski";"ogółem";"ogółem";"2021";;"szt.";"n";
0861000;"Powiat m.Gorzów Wielkopolski";"rynek pierwotny";"ogółem";"2020";495;"szt.";"";
0861000;"Powiat m.Gorzów Wielkopolski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0861000;"Powiat m.Gorzów Wielkopolski";"rynek wtórny";"ogółem";"2020";721;"szt.";"";
0861000;"Powiat m.Gorzów Wielkopolski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0862000;"Powiat m.Zielona Góra";"ogółem";"ogółem";"2020";2012;"szt.";"";
0862000;"Powiat m.Zielona Góra";"ogółem";"ogółem";"2021";;"szt.";"n";
0862000;"Powiat m.Zielona Góra";"rynek pierwotny";"ogółem";"2020";802;"szt.";"";
0862000;"Powiat m.Zielona Góra";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0862000;"Powiat m.Zielona Góra";"rynek wtórny";"ogółem";"2020";1210;"szt.";"";
0862000;"Powiat m.Zielona Góra";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1001000;"Powiat bełchatowski";"ogółem";"ogółem";"2020";279;"szt.";"";
1001000;"Powiat bełchatowski";"ogółem";"ogółem";"2021";;"szt.";"n";
1001000;"Powiat bełchatowski";"rynek pierwotny";"ogółem";"2020";8;"szt.";"";
1001000;"Powiat bełchatowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1001000;"Powiat bełchatowski";"rynek wtórny";"ogółem";"2020";271;"szt.";"";
1001000;"Powiat bełchatowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1002000;"Powiat kutnowski";"ogółem";"ogółem";"2020";197;"szt.";"";
1002000;"Powiat kutnowski";"ogółem";"ogółem";"2021";;"szt.";"n";
1002000;"Powiat kutnowski";"rynek pierwotny";"ogółem";"2020";57;"szt.";"";
1002000;"Powiat kutnowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1002000;"Powiat kutnowski";"rynek wtórny";"ogółem";"2020";140;"szt.";"";
1002000;"Powiat kutnowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1003000;"Powiat łaski";"ogółem";"ogółem";"2020";53;"szt.";"";
1003000;"Powiat łaski";"ogółem";"ogółem";"2021";;"szt.";"n";
1003000;"Powiat łaski";"rynek pierwotny";"ogółem";"2020";4;"szt.";"";
1003000;"Powiat łaski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1003000;"Powiat łaski";"rynek wtórny";"ogółem";"2020";49;"szt.";"";
1003000;"Powiat łaski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1004000;"Powiat łęczycki";"ogółem";"ogółem";"2020";47;"szt.";"";
1004000;"Powiat łęczycki";"ogółem";"ogółem";"2021";;"szt.";"n";
1004000;"Powiat łęczycki";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
1004000;"Powiat łęczycki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1004000;"Powiat łęczycki";"rynek wtórny";"ogółem";"2020";47;"szt.";"";
1004000;"Powiat łęczycki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1005000;"Powiat łowicki";"ogółem";"ogółem";"2020";58;"szt.";"";
1005000;"Powiat łowicki";"ogółem";"ogółem";"2021";;"szt.";"n";
1005000;"Powiat łowicki";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
1005000;"Powiat łowicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1005000;"Powiat łowicki";"rynek wtórny";"ogółem";"2020";56;"szt.";"";
1005000;"Powiat łowicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1006000;"Powiat łódzki wschodni";"ogółem";"ogółem";"2020";47;"szt.";"";
1006000;"Powiat łódzki wschodni";"ogółem";"ogółem";"2021";;"szt.";"n";
1006000;"Powiat łódzki wschodni";"rynek pierwotny";"ogółem";"2020";20;"szt.";"";
1006000;"Powiat łódzki wschodni";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1006000;"Powiat łódzki wschodni";"rynek wtórny";"ogółem";"2020";27;"szt.";"";
1006000;"Powiat łódzki wschodni";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1007000;"Powiat opoczyński";"ogółem";"ogółem";"2020";64;"szt.";"";
1007000;"Powiat opoczyński";"ogółem";"ogółem";"2021";;"szt.";"n";
1007000;"Powiat opoczyński";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
1007000;"Powiat opoczyński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1007000;"Powiat opoczyński";"rynek wtórny";"ogółem";"2020";64;"szt.";"";
1007000;"Powiat opoczyński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1008000;"Powiat pabianicki";"ogółem";"ogółem";"2020";393;"szt.";"";
1008000;"Powiat pabianicki";"ogółem";"ogółem";"2021";;"szt.";"n";
1008000;"Powiat pabianicki";"rynek pierwotny";"ogółem";"2020";131;"szt.";"";
1008000;"Powiat pabianicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1008000;"Powiat pabianicki";"rynek wtórny";"ogółem";"2020";262;"szt.";"";
1008000;"Powiat pabianicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1009000;"Powiat pajęczański";"ogółem";"ogółem";"2020";9;"szt.";"";
1009000;"Powiat pajęczański";"ogółem";"ogółem";"2021";;"szt.";"n";
1009000;"Powiat pajęczański";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
1009000;"Powiat pajęczański";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1009000;"Powiat pajęczański";"rynek wtórny";"ogółem";"2020";8;"szt.";"";
1009000;"Powiat pajęczański";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1010000;"Powiat piotrkowski";"ogółem";"ogółem";"2020";28;"szt.";"";
1010000;"Powiat piotrkowski";"ogółem";"ogółem";"2021";;"szt.";"n";
1010000;"Powiat piotrkowski";"rynek pierwotny";"ogółem";"2020";7;"szt.";"";
1010000;"Powiat piotrkowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1010000;"Powiat piotrkowski";"rynek wtórny";"ogółem";"2020";21;"szt.";"";
1010000;"Powiat piotrkowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1011000;"Powiat poddębicki";"ogółem";"ogółem";"2020";29;"szt.";"";
1011000;"Powiat poddębicki";"ogółem";"ogółem";"2021";;"szt.";"n";
1011000;"Powiat poddębicki";"rynek pierwotny";"ogółem";"2020";4;"szt.";"";
1011000;"Powiat poddębicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1011000;"Powiat poddębicki";"rynek wtórny";"ogółem";"2020";25;"szt.";"";
1011000;"Powiat poddębicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1012000;"Powiat radomszczański";"ogółem";"ogółem";"2020";101;"szt.";"";
1012000;"Powiat radomszczański";"ogółem";"ogółem";"2021";;"szt.";"n";
1012000;"Powiat radomszczański";"rynek pierwotny";"ogółem";"2020";10;"szt.";"";
1012000;"Powiat radomszczański";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1012000;"Powiat radomszczański";"rynek wtórny";"ogółem";"2020";91;"szt.";"";
1012000;"Powiat radomszczański";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1013000;"Powiat rawski";"ogółem";"ogółem";"2020";37;"szt.";"";
1013000;"Powiat rawski";"ogółem";"ogółem";"2021";;"szt.";"n";
1013000;"Powiat rawski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
1013000;"Powiat rawski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
1013000;"Powiat rawski";"rynek wtórny";"ogółem";"2020";36;"szt.";"";
1013000;"Powiat rawski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
1014000;"Powiat sieradzki";"ogółem";"ogółem";"2020";147;"szt.";"";
1014000;"Powiat sieradzki";"ogółem";"ogółem";"2021";;"szt.";"n";
1014000;"Powiat sieradzki";"rynek pierwotny";"ogółem";"2020";23;"szt.";"";
1014000;"Powiat sieradzki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
